state|date|summary|link_text|link|||
Louisiana|8/27/2024|The secretary of state reported 48 noncitizens have been removed from Louisiana's voter list since 2022, but could not confirm whether any of these individuals voted.|reported 48 noncitizens have been |https://lailluminator.com/2024/08/27/gov-landry-targets-noncitizens-in-louisiana-claiming-immigrants-pose-voter-fraud-risk/|||
Louisiana|9/4/2025|The secretary of state announced that the office identified 390 possible noncitizen registered voters, 79 of whom allegedly voted in at least one election. These alleged cases were identified through an investigation with the SAVE database and the FBI analyzing registration records spanning back to the 1980s.|identified 390 possible noncitizen registered voters|https://lailluminator.com/2025/09/04/louisiana-election-investigation-finds-79-noncitizens-have-voted-since-1980s/|||
Louisiana|3/18/2026|Update to the 9/4/2025 entry: The secretary of state announced that the office identified 403 possible noncitizens registered to vote, 83 of whom allegedly voted in at least one election since the 1980s. These individuals were identified through the SAVE database.|identified 403 possible |https://www.laforestry.com/single-post/403-noncitizens-purged-from-la-voter-rolls|||
Maine|12/31/2024|In December 2024, the Maine Wire updated the number of possible noncitizens it had identified as registered voters from six possible noncitizens in October 2024 to 10 possible noncitizens. Of the 10 possible noncitizens, eight have reportedly voted since 2016. The Maine Wire identified these individuals by analyzing a subset of MaineCare records and voter data from the voter registration database system. |updated the number of possible noncitizens|https://www.themainewire.com/2024/12/records-show-legal-and-illegal-aliens-are-voting-in-maine-and-costing-mainecare-a-fortune/|||
Maryland|10/5/2023|A possible noncitizen was charged with illegally voting in the 2018 gubernatorial election. The individual allegedly registered to vote in 1996. |charged with illegally voting|https://osp.maryland.gov/2023/10/05/october-10-2023-baltimore-county-man-charged-for-voting-in-a-maryland-election-without-u-s-citizenship/|||
Maryland|9/29/2025|A noncitizen arrested by federal immigration officials in Iowa allegedly has a registration record in Maryland. The individual had previously worked in Maryland. |allegedly has a registration record|https://foxbaltimore.com/news/local/maryland-records-suggest-non-citizen-ian-roberts-may-have-been-registered-to-vote|||
Massachusetts|5/1/2024|According to a report from the Public Interest Legal Foundation, the Boston election department disclosed 70 recent examples of registered noncitizens who were removed from the city's voter list, 22 of whom have voted. These noncitizens self-reported their citizenship status as part of the state's annual census. |"report from the||self-reported their citizenship status"|"https://publicinterestlegal.org/wp-content/uploads/2024/05/Boston-Noncitizen-Report-2024.pdf||https://www.theepochtimes.com/us/massachusetts-annual-census-finds-noncitizens-on-voter-rolls-5649682?welcomeuser=1"|||
Michigan|4/3/2025|The Michigan department of state reported 16 possible cases of noncitizen voting out of 5.7 million ballots cast in the 2024 general election. Thirteen cases were referred to the state attorney general, one case is still being investigated by the department of state, and one individual is now deceased. |"reported 16 possible||noncitizen voting||were referred to"|"https://www.npr.org/2025/07/30/nx-s1-5462836/noncitizen-voting-trump-ceir-review||https://www.michigan.gov/sos/resources/news/2025/04/03/michigan-department-of-state-review-confirms-instances-of-noncitizen-voting-are-extremely-rare||https://www.votebeat.org/michigan/2025/04/03/15-noncitizen-voting-cases-benson-proof-of-citizenship/"|||
Michigan|6/3/2025|The U.S. Department of Justice filed a criminal complaint against a noncitizen for allegedly registering to vote and voting in the 2024 general election. The noncitizen was a student who allegedly registered using a student ID.|criminal complaint against a noncitizen|https://www.justice.gov/usao-edmi/pr/chinese-national-university-michigan-charged-illegally-voting-2024-election|||
Michigan|1/8/2026|An individual pleaded guilty to illegally voting as a noncitizen. The individual fraudulently assumed the identity of a Puerto Rican man to apply for a Michigan driver's license and was registered to vote at the same time. |pleaded guilty to illegally voting|https://www.justice.gov/usao-edmi/pr/illegal-allien-pleads-guilty-voting-2020-election-and-lying-obtain-us-passport|||
